ts,open,high,low,close,volume,date,minutes,min_since_open,vwap,pct_vs_vwap,rsi_14,atr_14,atr_pct,vol_ratio,after_or,or_high,or_low,pct_vs_or_high,or_range_pct,ret_1,ret_3,ret_6,gap_pct,label,symbol
2026-05-14 13:30:00+00:00,743.655,744.81,743.6,744.8,27454.0,2026-05-14,570,0,744.4033333333333,0.05328652477823138,50.0,0.6039285714285744,0.0810860058309042,,0,,,,,0.33679105482957716,0.1869762311510481,0.21461104271363052,0.18254075171763684,1.0,SPY
2026-05-14 13:35:00+00:00,744.74,745.38,744.29,745.32,11500.0,2026-05-14,575,5,744.5784972018279,0.09958692078253552,70.41284403669721,0.6425000000000003,0.08620458326624808,,0,,,,,0.0698174006444896,0.3906144769806996,0.2602958090357044,0.18254075171763684,0.0,SPY
2026-05-14 13:40:00+00:00,745.33,745.605,745.26,745.415,15975.0,2026-05-14,580,10,744.8251703107649,0.0791903540248253,68.96551724137899,0.634285714285714,0.08509162202071519,,0,,,,,0.012746202973201726,0.41964165431767064,0.2616110939244187,0.18254075171763684,0.0,SPY
2026-05-14 13:45:00+00:00,745.54,745.85,745.21,745.69,23970.0,2026-05-14,585,15,745.0555048859935,0.08516078464565258,68.96551724137899,0.6503571428571361,0.08721548402917245,,1,745.605,743.6,0.011400138142855315,0.2696342119419036,0.03689220098872514,0.11949516648765979,0.30669482519740665,0.18254075171763684,0.0,SPY
2026-05-14 13:50:00+00:00,745.63,745.875,745.01,745.09,18135.0,2026-05-14,590,20,745.1058717047633,-0.0021301274578584906,61.994002998500584,0.6942857142857081,0.09318145650669155,,1,745.605,743.6,-0.06907142521844493,0.2696342119419036,-0.08046239053762783,-0.03085922825095677,0.3596347081167073,0.18254075171763684,0.0,SPY
2026-05-14 13:55:00+00:00,745.01,745.46,744.26,744.43,19583.0,2026-05-14,595,25,745.0405141474514,-0.08194375149518737,55.62499999999941,0.7535714285714253,0.10122797691810183,,1,745.605,743.6,-0.15759014491588283,0.2696342119419036,-0.08857990309896202,-0.1321411562686614,0.2869459787148143,0.18254075171763684,1.0,SPY
2026-05-14 14:00:00+00:00,744.39,745.29,744.295,745.29,15757.0,2026-05-14,600,30,745.030731840593,0.03479965970885643,64.52254641909715,0.7814285714285754,0.10484892745489345,0.6182064284523261,1,745.605,743.6,-0.042247570764688346,0.2696342119419036,0.1155246295823753,-0.053641593691755585,0.06578947368420796,0.18254075171763684,1.0,SPY
2026-05-14 14:05:00+00:00,745.34,745.485,744.82,745.065,14119.0,2026-05-14,605,35,745.0396567754091,0.0034015940440903477,60.890087660148126,0.7978571428571399,0.10708557546752832,0.5473276154479818,1,745.605,743.6,-0.0724244070251626,0.2696342119419036,-0.030189590629137175,-0.0033552993598084946,-0.03421349219127068,0.18254075171763684,1.0,SPY
2026-05-14 14:10:00+00:00,745.17,745.6,744.89,745.525,16076.0,2026-05-14,610,40,745.0691920763901,0.06117658983316936,65.20314547837421,0.8164285714285759,0.10951055584032406,0.6126886306165189,1,745.605,743.6,-0.010729541781511783,0.2696342119419036,0.06173957976820521,0.14709240627057696,0.014756880395494498,0.18254075171763684,1.0,SPY
2026-05-14 14:15:00+00:00,745.49,746.1,745.48,746.08,8832.0,2026-05-14,615,45,745.1113151420743,0.13000538822055316,66.83322923173002,0.8292857142857153,0.11115238503722326,0.3373516065453545,1,745.605,743.6,0.06370665432769666,0.2696342119419036,0.07444418362898553,0.10599900709791221,0.05230055384946031,0.18254075171763684,1.0,SPY
